service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2009-Collier-Weekday-25,1,1,1,1,1,0,0,20200823,20201121
2009-Collier-Saturday-75,0,0,0,0,0,1,0,20200823,20201121
2009-Collier-Sunday-15,0,0,0,0,0,0,1,20200823,20201121
2009-Liberty-Weekday-25,1,1,1,1,1,0,0,20200823,20201121
2009-Liberty-Saturday-75,0,0,0,0,0,1,0,20200823,20201121
2009-Liberty-Sunday-15,0,0,0,0,0,0,1,20200823,20201121
2009-Mifflin-Weekday-25,1,1,1,1,1,0,0,20200823,20201121
2009-Mifflin-Saturday-75,0,0,0,0,0,1,0,20200823,20201121
2009-Mifflin-Sunday-15,0,0,0,0,0,0,1,20200823,20201121
2009-Ross-Weekday-25,1,1,1,1,1,0,0,20200823,20201121
2009-Ross-Saturday-75,0,0,0,0,0,1,0,20200823,20201121
2009-Ross-Sunday-15,0,0,0,0,0,0,1,20200823,20201121
2009-Village-Weekday-25,1,1,1,1,1,0,0,20200823,20201121
2009-Village-Saturday-75,0,0,0,0,0,1,0,20200823,20201121
2009-Village-Sunday-15,0,0,0,0,0,0,1,20200823,20201121
W,1,1,1,1,1,0,0,20200823,20201121
S,0,0,0,0,0,1,0,20200823,20201121
U,0,0,0,0,0,0,1,20200823,20201121
